# ----------------------------------------,,,,,
# buzzfeed.com,,,,,
# Event Pages,,,,,
# 20140701-20141028,,,,,
# ----------------------------------------,,,,,
,,,,,
Page,Country / Territory,Total Events,Unique Events,Event Value,Avg. Value
/candacelowry/gurl-weve-all-been-there?bffb=,United States,"1,789,051","310,401",0,0
/candacelowry/gurl-weve-all-been-there,United States,"1,559,793","420,981",0,0
/candacelowry/gurl-weve-all-been-there,United Kingdom,"171,320","66,192",0,0
/candacelowry/gurl-weve-all-been-there?bffb=,Canada,"165,090","26,633",0,0
/candacelowry/gurl-weve-all-been-there,Canada,"164,467","45,633",0,0
/candacelowry/gurl-weve-all-been-there?bffb=,United Kingdom,"131,449","26,010",0,0
/candacelowry/gurl-weve-all-been-there?bffb=,Australia,"101,079","17,288",0,0
/candacelowry/gurl-weve-all-been-there?bftw=main,United States,"77,873","12,771",0,0
/candacelowry/gurl-weve-all-been-there,Australia,"66,192","22,116",0,0
/candacelowry/gurl-weve-all-been-there,Germany,"26,321","5,451",0,0
,,"4,786,832","1,090,363",0,0
,,,,,
Day Index,Total Events,,,,
7/1/14,"317,050",,,,
7/2/14,"3,599,559",,,,
7/3/14,"380,055",,,,
7/4/14,"137,990",,,,
7/5/14,"27,691",,,,
7/6/14,"43,715",,,,
7/7/14,"28,936",,,,
7/8/14,"13,690",,,,
7/9/14,"8,090",,,,
7/10/14,"6,378",,,,
7/11/14,"4,045",,,,
7/12/14,"2,645",,,,
7/13/14,"12,290",,,,
7/14/14,"4,045",,,,
7/15/14,"2,489",,,,
7/16/14,"2,956",,,,
7/17/14,"1,400",,,,
7/18/14,"2,022",,,,
7/19/14,"3,889",,,,
7/20/14,"4,045",,,,
7/21/14,"5,756",,,,
7/22/14,"1,245",,,,
7/23/14,467,,,,
7/24/14,0,,,,
7/25/14,0,,,,
7/26/14,622,,,,
7/27/14,0,,,,
7/28/14,0,,,,
7/29/14,"1,245",,,,
7/30/14,"72,651",,,,
7/31/14,"14,779",,,,
8/1/14,"14,779",,,,
8/2/14,"7,467",,,,
8/3/14,"8,867",,,,
8/4/14,"1,245",,,,
8/5/14,0,,,,
8/6/14,"1,245",,,,
8/7/14,0,,,,
8/8/14,622,,,,
8/9/14,"3,423",,,,
8/10/14,0,,,,
8/11/14,0,,,,
8/12/14,0,,,,
8/13/14,"2,489",,,,
8/14/14,"2,956",,,,
8/15/14,0,,,,
8/16/14,0,,,,
8/17/14,0,,,,
8/18/14,0,,,,
8/19/14,467,,,,
8/20/14,467,,,,
8/21/14,0,,,,
8/22/14,0,,,,
8/23/14,0,,,,
8/24/14,0,,,,
8/25/14,0,,,,
8/26/14,0,,,,
8/27/14,"1,089",,,,
8/28/14,0,,,,
8/29/14,622,,,,
8/30/14,156,,,,
8/31/14,0,,,,
9/1/14,0,,,,
9/2/14,0,,,,
9/3/14,0,,,,
9/4/14,0,,,,
9/5/14,0,,,,
9/6/14,467,,,,
9/7/14,0,,,,
9/8/14,0,,,,
9/9/14,0,,,,
9/10/14,311,,,,
9/11/14,0,,,,
9/12/14,0,,,,
9/13/14,0,,,,
9/14/14,0,,,,
9/15/14,0,,,,
9/16/14,0,,,,
9/17/14,0,,,,
9/18/14,0,,,,
9/19/14,0,,,,
9/20/14,0,,,,
9/21/14,467,,,,
9/22/14,0,,,,
9/23/14,0,,,,
9/24/14,0,,,,
9/25/14,0,,,,
9/26/14,0,,,,
9/27/14,0,,,,
9/28/14,0,,,,
9/29/14,0,,,,
9/30/14,0,,,,
10/1/14,0,,,,
10/2/14,"1,245",,,,
10/3/14,"22,246",,,,
10/4/14,"6,534",,,,
10/5/14,0,,,,
10/6/14,311,,,,
10/7/14,778,,,,
10/8/14,0,,,,
10/9/14,0,,,,
10/10/14,0,,,,
10/11/14,"4,200",,,,
10/12/14,0,,,,
10/13/14,156,,,,
10/14/14,0,,,,
10/15/14,0,,,,
10/16/14,311,,,,
10/17/14,0,,,,
10/18/14,0,,,,
10/19/14,0,,,,
10/20/14,0,,,,
10/21/14,0,,,,
10/22/14,0,,,,
10/23/14,0,,,,
10/24/14,0,,,,
10/25/14,0,,,,
10/26/14,0,,,,
10/27/14,0,,,,
10/28/14,0,,,,
,"4,782,665",,,,
