Country,Pageviews,,,,,,,,,,
United States,2855528,,,,,,,,,,
United States,1458646,,,,,,,,,,
United Kingdom,731154,,,,,,,,,,
Canada,356259,,,,,,,,,,
United States,214260,,,,,,,,,,
Australia,115064,,,,,,,,,,
United Kingdom,108310,,,,,,,,,,
Canada,106683,,,,,,,,,,
Australia,74784,,,,,,,,,,
Germany,53789,,,,,,,,,,
Ireland,38409,,,,,,,,,,
New Zealand,34096,,,,,,,,,,
United Kingdom,32387,,,,,,,,,,
Canada,24738,,,,,,,,,,
Australia,22622,,,,,,,,,,
France,21890,,,,,,,,,,
Brazil,19449,,,,,,,,,,
Mexico,19286,,,,,,,,,,
Mexico,19204,,,,,,,,,,
Philippines,18391,,,,,,,,,,
Germany,18309,,,,,,,,,,
Brazil,17902,,,,,,,,,,
India,17251,,,,,,,,,,
United States,16519,,,,,,,,,,
Netherlands,15136,,,,,,,,,,
Turkey,15054,,,,,,,,,,
Sweden,14892,,,,,,,,,,
Italy,14892,,,,,,,,,,
Ireland,14322,,,,,,,,,,
Norway,13427,,,,,,,,,,
New Zealand,13345,,,,,,,,,,
South Africa,13101,,,,,,,,,,
Spain,12288,,,,,,,,,,
Finland,12288,,,,,,,,,,
Philippines,11555,,,,,,,,,,
Romania,11474,,,,,,,,,,
Czech Republic,11230,,,,,,,,,,
France,11230,,,,,,,,,,
South Korea,10986,,,,,,,,,,
United Arab Emirates,10904,,,,,,,,,,
Singapore,10416,,,,,,,,,,
Italy,9928,,,,,,,,,,
India,9846,,,,,,,,,,
Germany,9521,,,,,,,,,,
Russia,8951,,,,,,,,,,
Belgium,8788,,,,,,,,,,
United Kingdom,8544,,,,,,,,,,
United Arab Emirates,8056,,,,,,,,,,
Portugal,7812,,,,,,,,,,
Austria,7649,,,,,,,,,,
Japan,7486,,,,,,,,,,
United States,7405,,,,,,,,,,
United States,7161,,,,,,,,,,
New Zealand,6998,,,,,,,,,,
Chile,6917,,,,,,,,,,
South Korea,6917,,,,,,,,,,
France,6835,,,,,,,,,,
Israel,6754,,,,,,,,,,
Singapore,6673,,,,,,,,,,
Thailand,6673,,,,,,,,,,
Malaysia,6591,,,,,,,,,,
Netherlands,6591,,,,,,,,,,
Argentina,6429,,,,,,,,,,
Hungary,6184,,,,,,,,,,
Spain,5533,,,,,,,,,,
Hong Kong,5533,,,,,,,,,,
Estonia,5371,,,,,,,,,,
Peru,5371,,,,,,,,,,
Sweden,5127,,,,,,,,,,
Switzerland,4964,,,,,,,,,,
United States,4964,,,,,,,,,,
Jamaica,4882,,,,,,,,,,
Denmark,4638,,,,,,,,,,
South Africa,4638,,,,,,,,,,
Malaysia,4476,,,,,,,,,,
United States,4476,,,,,,,,,,
United States,4313,,,,,,,,,,
United Kingdom,4313,,,,,,,,,,
Serbia,4150,,,,,,,,,,
Puerto Rico,4069,,,,,,,,,,
Colombia,3906,,,,,,,,,,
Costa Rica,3825,,,,,,,,,,
United States,3743,,,,,,,,,,
United Kingdom,3743,,,,,,,,,,
Switzerland,3662,,,,,,,,,,
Saudi Arabia,3662,,,,,,,,,,
Norway,3580,,,,,,,,,,
United States,3580,,,,,,,,,,
United States,3580,,,,,,,,,,
United States,3580,,,,,,,,,,
Argentina,3499,,,,,,,,,,
Hong Kong,3499,,,,,,,,,,
Japan,3499,,,,,,,,,,
Romania,3499,,,,,,,,,,
Netherlands,3499,,,,,,,,,,
Canada,3499,,,,,,,,,,
United States,3418,,,,,,,,,,
United States,3418,,,,,,,,,,
Finland,3336,,,,,,,,,,
