Country,Pageviews
Argentina,9928
Australia,212470
Austria,7649
Belgium,8788
Brazil,37351
Canada,491179
Chile,6917
Colombia,3906
Costa Rica,3825
Czech Republic,11230
Denmark,4638
Estonia,5371
Finland,15624
France,39955
Germany,81619
Hong Kong,9032
Hungary,6184
India,27097
Ireland,52731
Israel,6754
Italy,24820
Jamaica,4882
Japan,10985
Malaysia,11067
Mexico,38490
Netherlands,25226
New Zealand,54439
Norway,17007
Peru,5371
Philippines,29946
Portugal,7812
Puerto Rico,4069
Romania,14973
Russia,8951
Saudi Arabia,3662
Serbia,4150
Singapore,17089
South Africa,17739
South Korea,17903
Spain,17821
Sweden,20019
Switzerland,8626
Thailand,6673
Turkey,15054
United Arab Emirates,18960
United Kingdom,888451
United States,4594591
