# ----------------------------------------
# buzzfeed.com
# Event Pages
# 20140901-20141028
# ----------------------------------------

Page,Country / Territory,Total Events,Unique Events,Event Value,Avg. Value
/expresident/make-you-smile,United States,"2,855,528","365,373","2,853,321,866",999.23
/expresident/make-you-smile?bffb=,United States,"1,458,646","162,831",0,0.00
/expresident/make-you-smile,United Kingdom,"731,154","94,232",0,0.00
/expresident/make-you-smile,Canada,"356,259","42,885",0,0.00
/expresident/make-you-smile?bftw=main,United States,"214,260","24,494",0,0.00
/expresident/make-you-smile,Australia,"115,064","14,485",0,0.00
/expresident/make-you-smile?bffb=,United Kingdom,"108,310","13,020",0,0.00
/expresident/make-you-smile?bffb=,Canada,"106,683","12,125",0,0.00
/expresident/make-you-smile?bffb=,Australia,"74,784","9,114",0,0.00
/expresident/make-you-smile,Germany,"53,789","6,022",0,0.00
/expresident/make-you-smile,Ireland,"38,409","4,476",0,0.00
/expresident/make-you-smile,New Zealand,"34,096","4,150",0,0.00
/expresident/make-you-smile?bftw=main,United Kingdom,"32,387","2,929",0,0.00
/expresident/make-you-smile?bftw=main,Canada,"24,738","2,848",0,0.00
/expresident/make-you-smile?bftw=main,Australia,"22,622","2,848",0,0.00
/expresident/make-you-smile,France,"21,890","2,685",0,0.00
/expresident/make-you-smile?bffb=,Brazil,"19,449","1,872",0,0.00
/expresident/make-you-smile?bffb=,Mexico,"19,286","1,790",0,0.00
/expresident/make-you-smile,Mexico,"19,204","1,953",0,0.00
/expresident/make-you-smile,Philippines,"18,391","2,848",0,0.00
/expresident/make-you-smile?bffb=,Germany,"18,309","2,197",0,0.00
/expresident/make-you-smile,Brazil,"17,902","1,546",0,0.00
/expresident/make-you-smile,India,"17,251","2,767",0,0.00
/expresident/make-you-smile?sub=2835940_3741571,United States,"16,519","1,790",0,0.00
/expresident/make-you-smile,Netherlands,"15,136","2,116",0,0.00
/expresident/make-you-smile,Turkey,"15,054","2,116",0,0.00
/expresident/make-you-smile,Sweden,"14,892","1,953",0,0.00
/expresident/make-you-smile?bffb=,Italy,"14,892",895,0,0.00
/expresident/make-you-smile?bffb=,Ireland,"14,322","1,383",0,0.00
/expresident/make-you-smile,Norway,"13,427","1,546",0,0.00
/expresident/make-you-smile?bffb=,New Zealand,"13,345","1,302",0,0.00
/expresident/make-you-smile,South Africa,"13,101","2,278",0,0.00
/expresident/make-you-smile,Spain,"12,288","2,034",0,0.00
/expresident/make-you-smile,Finland,"12,288","1,302",0,0.00
/expresident/make-you-smile?bffb=,Philippines,"11,555","1,465",0,0.00
/expresident/make-you-smile,Romania,"11,474","1,872",0,0.00
/expresident/make-you-smile?bffb=,Czech Republic,"11,230",814,0,0.00
/expresident/make-you-smile?bffb=,France,"11,230","1,465",0,0.00
/expresident/make-you-smile,South Korea,"10,986","1,221",0,0.00
/expresident/make-you-smile?bffb=,United Arab Emirates,"10,904",570,0,0.00
/expresident/make-you-smile,Singapore,"10,416","1,221",0,0.00
/expresident/make-you-smile,Italy,"9,928","1,383",0,0.00
/expresident/make-you-smile?bffb=,India,"9,846","1,383",0,0.00
/expresident/make-you-smile?bftw=main,Germany,"9,521",732,0,0.00
/expresident/make-you-smile,(not set),"8,951","1,302",0,0.00
/expresident/make-you-smile?bffb=,Russia,"8,951",732,0,0.00
/expresident/make-you-smile,Belgium,"8,788","1,627",0,0.00
/expresident/make-you-smile#ncdt2o,United Kingdom,"8,544","1,709",0,0.00
/expresident/make-you-smile,United Arab Emirates,"8,056","1,139",0,0.00
/expresident/make-you-smile?bffb=,Portugal,"7,812",651,0,0.00
/expresident/make-you-smile,Austria,"7,649",895,0,0.00
/expresident/make-you-smile,Japan,"7,486","1,302",0,0.00
/expresident/make-you-smile?sub=2835940_3741780,United States,"7,405","1,139",0,0.00
/expresident/make-you-smile?sub=2835940_3741753,United States,"7,161",325,0,0.00
/expresident/make-you-smile?bftw=main,New Zealand,"6,998",488,0,0.00
/expresident/make-you-smile?bffb=,Chile,"6,917",976,0,0.00
/expresident/make-you-smile?bffb=,South Korea,"6,917",814,0,0.00
/expresident/make-you-smile?bftw=main,France,"6,835",488,0,0.00
/expresident/make-you-smile,Israel,"6,754",732,0,0.00
/expresident/make-you-smile?bffb=,Singapore,"6,673",976,0,0.00
/expresident/make-you-smile?bffb=,Thailand,"6,673",732,0,0.00
/expresident/make-you-smile,Malaysia,"6,591","1,709",0,0.00
/expresident/make-you-smile?bffb=,Netherlands,"6,591","1,058",0,0.00
/expresident/make-you-smile?bffb=,Argentina,"6,429","1,058",0,0.00
/expresident/make-you-smile,Hungary,"6,184","1,058",0,0.00
/expresident/make-you-smile?bffb=,Spain,"5,533",895,0,0.00
/expresident/make-you-smile?bffb=,Hong Kong,"5,533",325,0,0.00
/expresident/make-you-smile,Estonia,"5,371",651,0,0.00
/expresident/make-you-smile?bffb=,Peru,"5,371",488,0,0.00
/expresident/make-you-smile?bffb=,Sweden,"5,127",732,0,0.00
/expresident/make-you-smile?bffb=,Switzerland,"4,964",407,0,0.00
/expresident/make-you-smile?sub=2835940_2164060,United States,"4,964",488,0,0.00
/expresident/make-you-smile,Jamaica,"4,882",651,0,0.00
/expresident/make-you-smile?bffb=,Denmark,"4,638",407,0,0.00
/expresident/make-you-smile?bffb=,South Africa,"4,638",407,0,0.00
/expresident/make-you-smile?bffb=,Malaysia,"4,476",570,0,0.00
/expresident/make-you-smile?sub=2835940_3741625,United States,"4,476",244,0,0.00
/expresident/make-you-smile?sub=2835940_3741847,United States,"4,313",732,0,0.00
/expresident/make-you-smile#8e3rhm,United Kingdom,"4,313",407,0,0.00
/expresident/make-you-smile,Serbia,"4,150",814,0,0.00
/expresident/make-you-smile,Puerto Rico,"4,069",651,0,0.00
/expresident/make-you-smile,Colombia,"3,906",325,0,0.00
/expresident/make-you-smile?bffb=,Costa Rica,"3,825",325,0,0.00
