CityCountry,Latitude,Longitude,city,country,20150212,Language20150212,20150213,Language20150213,20150214,Language20150214,20150215,Language20150215,20150216,Language20150216,20150217,Language20150217,20150218,Language20150218,20150219,Language20150219,20150220,Language20150220,20150221,Language20150221,20150222,Language20150222,20150223,Language20150223,20150224,Language20150224,20150225,Language20150225,20150226,Language20150226,20150227,Language20150227,20150228,Language20150228,20150301,Language20150301,20150302,Language20150302,20150303,Language20150303,20150304,Language20150304,20150305,Language20150305,20150306,Language20150306,20150307,Language20150307,20150308,Language20150308,20150309,Language20150309
Abbotsford-Canada0,49.0546,-122.32799999999999,Abbotsford,Canada,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en
Abilene-United States0,32.4487,-99.7331,Abilene,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en
Acapulco-Mexico0,16.8636,-99.8825,Acapulco,Mexico,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en
Aguascalientes-Mexico0,21.8853,-102.2916,Aguascalientes,Mexico,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en,527.0,en
Albany-United States0,42.6526,-73.7562,Albany,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,181.0,en,181.0,en,181.0,en,181.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en,345.0,en
Albuquerque-United States0,35.1107,-106.61,Albuquerque,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,276.0,en,500.0,en,811.0,en,923.0,en,923.0,en,1087.0,en,1216.0,en,1216.0,en,1216.0,en,1216.0,en,1216.0,en,1216.0,en,1216.0,en
Ames-United States0,42.0347,-93.62,Ames,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en
Amherst-United States0,42.367,-72.517,Amherst,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,121.0,en,121.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en
Anaheim-United States0,33.8353,-117.9145,Anaheim,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en
Anchorage-United States0,61.2181,-149.9003,Anchorage,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en
Anderson-United States0,40.1053,-85.6803,Anderson,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en,259.0,en
Ann Arbor-United States0,42.2808,-83.743,Ann Arbor,United States,0,,0.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,104.0,en,570.0,en,907.0,en,1106.0,en,1374.0,en,2496.0,en,2884.0,en,3048.0,en,3411.0,en,3661.0,en,3661.0,en,3661.0,en,3661.0,en,3661.0,en,3661.0,en,3661.0,en
Apple Valley-United States0,44.7319,-93.2177,Apple Valley,United States,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,233.0,en,233.0,en,233.0,en,233.0,en,233.0,en,233.0,en
