City,Country,Longitude,Latitude,Date,Pageviews
Hong Kong,Hong Kong,114.1588,22.28,20150226,30671
Hong Kong,Hong Kong,114.1588,22.28,20150225,29954
Hong Kong,Hong Kong,114.1588,22.28,20150227,17636
La Victoria,Peru,-77.0163,-12.0734,20150215,13044
Mexico City,Mexico,-99.1332,19.4326,20150227,11757
Lisbon,Portugal,-9.1393,38.7223,20150303,11757
La Victoria,Peru,-77.0163,-12.0734,20150216,8935
London,United Kingdom,-0.1278,51.5074,20150224,8641
New York,United States,-74.0059,40.7128,20150227,8002
New York,United States,-74.0059,40.7128,20150223,7726
London,United Kingdom,-0.1278,51.5074,20150225,6630
Sydney,Australia,151.207,-33.8675,20150227,6267
Santiago,Chile,-70.642,-33.4691,20150301,6146
Chicago,United States,-87.6298,41.8781,20150227,5905
La Victoria,Peru,-77.0163,-12.0734,20150226,5896
London,United Kingdom,-0.1278,51.5074,20150227,5482
London,United Kingdom,-0.1278,51.5074,20150302,5464
La Victoria,Peru,-77.0163,-12.0734,20150217,5274
Istanbul,Turkey,28.977,41.0053,20150219,5119
London,United Kingdom,-0.1278,51.5074,20150304,4981
London,United Kingdom,-0.1278,51.5074,20150303,4886
Istanbul,Turkey,28.977,41.0053,20150228,4826
New York,United States,-74.0059,40.7128,20150225,4765
New York,United States,-74.0059,40.7128,20150224,4627
Toronto,Canada,-79.3832,43.6532,20150227,4618
Mexico City,Mexico,-99.1332,19.4326,20150226,4618
Riga,Latvia,24.1052,56.9496,20150304,4592
Melbourne,Australia,144.9633,-37.8141,20150227,4446
Hong Kong,Hong Kong,114.1588,22.28,20150303,4342
La Victoria,Peru,-77.0163,-12.0734,20150225,4308
London,United Kingdom,-0.1278,51.5074,20150228,4230
Riga,Latvia,24.1052,56.9496,20150303,4126
New York,United States,-74.0059,40.7128,20150228,4126
La Victoria,Peru,-77.0163,-12.0734,20150302,4118
Sydney,Australia,151.207,-33.8675,20150228,4023
Santiago,Chile,-70.642,-33.4691,20150302,4023
Hong Kong,Hong Kong,114.1588,22.28,20150228,3962
Hong Kong,Hong Kong,114.1588,22.28,20150302,3936
Los Angeles,United States,-118.2437,34.0522,20150227,3721
Los Angeles,United States,-118.2437,34.0522,20150223,3600
London,United Kingdom,-0.1278,51.5074,20150226,3565
Istanbul,Turkey,28.977,41.0053,20150218,3513
La Victoria,Peru,-77.0163,-12.0734,20150227,3479
Lisbon,Portugal,-9.1393,38.7223,20150302,3462
Hong Kong,Hong Kong,114.1588,22.28,20150222,3384
New York,United States,-74.0059,40.7128,20150226,3323
Istanbul,Turkey,28.977,41.0053,20150303,3289
Houston,United States,-95.3698,29.7604,20150227,3237
Istanbul,Turkey,28.977,41.0053,20150302,3185
Istanbul,Turkey,28.977,41.0053,20150220,3142
Riga,Latvia,24.1052,56.9496,20150224,3125
Istanbul,Turkey,28.977,41.0053,20150224,3125
Monterrey,Mexico,-100.3161,25.6866,20150227,3073
Mexico City,Mexico,-99.1332,19.4326,20150228,3064
Warsaw,Poland,21.0122,52.2297,20150227,2944
Istanbul,Turkey,28.977,41.0053,20150226,2926
Rio de Janeiro,Brazil,-43.197,-22.9083,20150227,2892
Athens,Greece,23.7294,37.9839,20150223,2892
Los Angeles,United States,-118.2437,34.0522,20150225,2875
Istanbul,Turkey,28.977,41.0053,20150221,2857
La Victoria,Peru,-77.0163,-12.0734,20150218,2840
Sao Paulo,Brazil,-46.6333,-23.5505,20150227,2831
San Francisco,United States,-122.4194,37.7749,20150227,2831
New York,United States,-74.0059,40.7128,20150302,2823
Santiago,Chile,-70.642,-33.4691,20150227,2780
Riga,Latvia,24.1052,56.9496,20150225,2780
Riga,Latvia,24.1052,56.9496,20150305,2771
Sydney,Australia,151.207,-33.8675,20150226,2711
Brisbane,Australia,153.0235,-27.471,20150227,2693
Athens,Greece,23.7294,37.9839,20150216,2693
Istanbul,Turkey,28.977,41.0053,20150223,2693
Athens,Greece,23.7294,37.9839,20150301,2685
Istanbul,Turkey,28.977,41.0053,20150225,2676
Istanbul,Turkey,28.977,41.0053,20150304,2667
Santiago,Chile,-70.642,-33.4691,20150303,2642
Istanbul,Turkey,28.977,41.0053,20150301,2624
Riga,Latvia,24.1052,56.9496,20150226,2607
Toronto,Canada,-79.3832,43.6532,20150226,2590
Madrid,Spain,-3.7038,40.4168,20150306,2581
La Victoria,Peru,-77.0163,-12.0734,20150214,2572
La Victoria,Peru,-77.0163,-12.0734,20150221,2555
New York,United States,-74.0059,40.7128,20150213,2547
Athens,Greece,23.7294,37.9839,20150224,2538
Washington,United States,-77.0369,38.9072,20150227,2529
Hong Kong,Hong Kong,114.1588,22.28,20150301,2521
Sydney,Australia,151.207,-33.8675,20150301,2512
