City,Country / Territory,Longitude,Latitude,Date,Pageviews
Croydon,United Kingdom,-0.0982,51.3762,20140926,1
London,United Kingdom,-0.1278,51.5074,20140926,18
York,United Kingdom,-1.0873,53.96,20140926,1
Newbury,United Kingdom,-1.3231,51.4014,20140926,1
Barnsley,United Kingdom,-1.4797,53.5526,20140926,1
Leeds,United Kingdom,-1.5491,53.8008,20140926,1
Newcastle upon Tyne,United Kingdom,-1.6178,54.9783,20140926,1
Halifax,United Kingdom,-1.8575,53.727,20140926,1
Birmingham,United Kingdom,-1.8904,52.4862,20140926,1
Monterrey,Mexico,-100.3161,25.6866,20140926,1
Morelia,Mexico,-101.195,19.7059,20140926,1
Lead,United States,-103.7652,44.3522,20140926,2
Fort Morgan,United States,-103.7999,40.2503,20140926,1
Tisdale,Canada,-104.049,52.8474,20140926,1
Colorado Springs,United States,-104.8214,38.8339,20140926,1
Greenwood Village,United States,-104.9508,39.6172,20140926,1
Denver,United States,-104.9847,39.7376,20140926,3
Boulder,United States,-105.2705,40.015,20140926,1
Saskatoon,Canada,-106.6832,52.1334,20140926,2
Las Cruces,United States,-106.7637,32.3199,20140926,1
Durango,United States,-107.8801,37.2753,20140926,1
Jackson,United States,-110.7624,43.4799,20140926,1
Park City,United States,-111.498,40.6461,20140926,1
Provo,United States,-111.6585,40.2338,20140926,1
Gilbert,United States,-111.789,33.3528,20140926,1
Chandler,United States,-111.8413,33.3062,20140926,1
Bountiful,United States,-111.8808,40.8894,20140926,1
Murray,United States,-111.888,40.6669,20140926,1
Salt Lake City,United States,-111.891,40.7608,20140926,2
Scottsdale,United States,-111.9261,33.4942,20140926,3
Tempe,United States,-111.94,33.4255,20140926,1
Conrad,United States,-111.9447,48.1683,20140926,1
Farr West,United States,-112.0277,41.2972,20140926,2
Phoenix,United States,-112.074,33.4484,20140926,4
Camrose,Canada,-112.8286,53.0222,20140926,1
Edmonton,Canada,-113.4909,53.5444,20140926,3
Missoula,United States,-114.0117,46.8625,20140926,2
Calgary,Canada,-114.0581,51.0453,20140926,4
Paradise,United States,-115.1467,36.0972,20140926,2
El Centro,United States,-115.563,32.792,20140926,1
Palm Desert,United States,-116.3745,33.7222,20140926,1
Coeur d'Alene,United States,-116.7805,47.6777,20140926,1
Lakeside,United States,-116.9223,32.8573,20140926,2
Poway,United States,-117.0359,32.9628,20140926,1
San Diego,United States,-117.1611,32.7157,20140926,3
Lake Arrowhead,United States,-117.1892,34.2483,20140926,2
San Bernardino,United States,-117.2898,34.1083,20140926,1
Victorville,United States,-117.2912,34.5361,20140926,1
Carlsbad,United States,-117.3506,33.1581,20140926,1
Spokane,United States,-117.426,47.6588,20140926,3
Ontario,United States,-117.6509,34.0633,20140926,1
Trail,Canada,-117.7117,49.0966,20140926,1
Irvine,United States,-117.7947,33.6839,20140926,1
San Dimas,United States,-117.8067,34.1067,20140926,1
Tustin,United States,-117.8262,33.7458,20140926,1
Orange,United States,-117.8531,33.7878,20140926,1
Santa Ana,United States,-117.8678,33.7456,20140926,1
Los Angeles,United States,-118.2437,34.0522,20140926,18
Santa Monica,United States,-118.4912,34.0195,20140926,2
Simi Valley,United States,-118.7815,34.2694,20140926,2
Thousand Oaks,United States,-118.8376,34.1706,20140926,1
Taft,United States,-119.4565,35.1425,20140926,1
Kelowna,Canada,-119.496,49.888,20140926,1
Penticton,Canada,-119.5937,49.4991,20140926,12
Reno,United States,-119.8138,39.5296,20140926,1
Yakima,United States,-120.5059,46.6021,20140926,1
Atwater,United States,-120.6091,37.3477,20140926,1
Roseville,United States,-121.288,38.7521,20140926,2
Stockton,United States,-121.2908,37.9577,20140926,2
Chico,United States,-121.8375,39.7285,20140926,1
San Jose,United States,-121.895,37.3394,20140926,7
Campbell,United States,-121.95,37.2872,20140926,1
San Ramon,United States,-121.978,37.7799,20140926,1
Fremont,United States,-121.9886,37.5483,20140926,3
Walnut Creek,United States,-122.0652,37.9101,20140926,1
Lafayette,United States,-122.118,37.8858,20140926,1
Menlo Park,United States,-122.1817,37.453,20140926,1
Bellevue,United States,-122.2007,47.6104,20140926,4
Belmont,United States,-122.2758,37.5202,20140926,1
Seattle,United States,-122.3321,47.6062,20140926,2
Clinton,United States,-122.3557,47.9784,20140926,1
Redding,United States,-122.3917,40.5865,20140926,1
San Francisco,United States,-122.4194,37.7749,20140926,3
Parkland,United States,-122.434,47.1554,20140926,1
Tacoma,United States,-122.4443,47.2529,20140926,1
Sonoma,United States,-122.458,38.2919,20140926,1
Bellingham,United States,-122.4781,48.7491,20140926,1
Mill Valley,United States,-122.545,37.906,20140926,1
Maple Ridge,Canada,-122.6188,49.2221,20140926,1
Portland,United States,-122.6762,45.5235,20140926,2
Tualatin,United States,-122.764,45.384,20140926,1
Eugene,United States,-123.0868,44.0521,20140926,1
Forest Grove,United States,-123.1107,45.5198,20140926,4
Vancouver,Canada,-123.1139,49.2612,20140926,7
Victoria,Canada,-123.3656,48.4284,20140926,1
Colwood,Canada,-123.4958,48.4236,20140926,1
Lincoln City,United States,-124.0179,44.9582,20140926,1
Crescent City,United States,-124.2026,41.7557,20140926,1
Wasilla,United States,-149.4395,61.5814,20140926,1
Anchorage,United States,-149.9003,61.2181,20140926,1
Wahiawa,United States,-158.0231,21.5025,20140926,1
Stockport,United Kingdom,-2.1588,53.4068,20140926,1
Bristol,United Kingdom,-2.5879,51.4545,20140926,1
Liverpool,United Kingdom,-2.9916,53.4084,20140926,1
Edinburgh,United Kingdom,-3.1883,55.9533,20140926,1
Madrid,Spain,-3.7038,40.4168,20140926,1
Plymouth,United Kingdom,-4.1427,50.3755,20140926,2
Douglas,United Kingdom,-4.4817,54.1452,20140926,1
Sao Bernardo do Campo,Brazil,-46.5648,-23.6899,20140926,1
Sao Paulo,Brazil,-46.6333,-23.5505,20140926,3
Belfast,United Kingdom,-5.9301,54.5973,20140926,1
Porto Alegre,Brazil,-51.2177,-30.0347,20140926,1
Dublin,Ireland,-6.2603,53.3498,20140926,2
Dartmouth,Canada,-63.5677,44.6652,20140926,1
Portlaoise,Ireland,-7.2988,53.0328,20140926,1
Dover,United States,-70.8737,43.1979,20140926,1
Hingham,United States,-70.8898,42.2418,20140926,2
Salem,United States,-70.8967,42.5195,20140926,1
Boston,United States,-71.0598,42.3584,20140926,7
Somerville,United States,-71.0995,42.3876,20140926,3
Medford,United States,-71.1062,42.4184,20140926,3
Cambridge,United States,-71.1097,42.3736,20140926,3
Billerica,United States,-71.2689,42.5584,20140926,3
Newport,United States,-71.3128,41.4901,20140926,1
Providence,United States,-71.4128,41.824,20140926,1
Shrewsbury,United States,-71.7128,42.2959,20140926,1
Rutland,United States,-71.9481,42.3695,20140926,1
Old Saybrook,United States,-72.3845,41.296,20140926,1
Westfield,United States,-72.7495,42.1251,20140926,1
New Haven,United States,-72.9279,41.3083,20140926,1
Miller Place,United States,-72.9962,40.9598,20140926,1
Holbrook,United States,-73.0784,40.8123,20140926,1
Shelton,United States,-73.0932,41.3165,20140926,1
Bohemia,United States,-73.1151,40.7693,20140926,2
Burlington,United States,-73.2121,44.4759,20140926,1
Pittsfield,United States,-73.2454,42.4501,20140926,2
Fairfield,United States,-73.2613,41.1408,20140926,1
Longueuil,Canada,-73.5107,45.5369,20140926,1
Montreal,Canada,-73.554,45.5087,20140926,1
Hempstead,United States,-73.6187,40.7062,20140926,1
White Plains,United States,-73.7629,41.034,20140926,1
Pleasantville,United States,-73.7924,41.1333,20140926,1
Hyde Park,United States,-73.9015,41.7668,20140926,1
East Glenville,United States,-73.919,42.8715,20140926,1
New York,United States,-74.0059,40.7128,20140926,23
Little Ferry,United States,-74.0421,40.8529,20140926,1
Brick,United States,-74.1372,40.0578,20140926,1
Newark,United States,-74.1724,40.7357,20140926,1
Toms River,United States,-74.1979,39.9537,20140926,1
West Caldwell,United States,-74.3018,40.8409,20140926,1
Manchester Township,United States,-74.3393,39.9712,20140926,1
Jackson,United States,-74.3562,40.0931,20140926,2
Hamilton Township,United States,-74.6797,40.2115,20140926,1
Newtown,United States,-74.9323,40.2283,20140926,1
Philadelphia,United States,-75.1638,39.9523,20140926,4
Harrison Township,United States,-75.2077,39.7296,20140926,5
Paulsboro,United States,-75.2405,39.8304,20140926,2
Upper Darby,United States,-75.3077,39.9579,20140926,1
Springfield,United States,-75.3202,39.9307,20140926,1
Kulpsville,United States,-75.3366,40.2429,20140926,1
Bethlehem,United States,-75.3705,40.6259,20140926,1
Media,United States,-75.3877,39.9168,20140926,2
Boothwyn,United States,-75.4416,39.8301,20140926,1
Wilmington,United States,-75.5398,39.7391,20140926,1
New Castle,United States,-75.5668,39.662,20140926,1
Pottstown,United States,-75.6496,40.2454,20140926,1
Kill Devil Hills,United States,-75.676,36.0307,20140926,1
Ottawa,Canada,-75.6972,45.4215,20140926,5
Kutztown,United States,-75.7774,40.5173,20140926,1
Avondale,United States,-75.7833,39.8234,20140926,1
Norfolk,United States,-76.2859,36.8508,20140926,1
Lancaster,United States,-76.3055,40.0379,20140926,2
Bel Air South,United States,-76.329,39.5087,20140926,1
Saint Marys City,United States,-76.4343,38.1872,20140926,1
Annapolis,United States,-76.4922,38.9784,20140926,1
Ithaca,United States,-76.5019,42.444,20140926,1
Baltimore,United States,-76.6122,39.2904,20140926,2
Lutherville-Timonium,United States,-76.6124,39.4354,20140926,2
Elkridge,United States,-76.7136,39.2126,20140926,1
Owings Mills,United States,-76.7803,39.4195,20140926,1
Columbia,United States,-76.861,39.2037,20140926,1
College Park,United States,-76.9378,38.9897,20140926,3
Washington,United States,-77.0369,38.9072,20140926,7
Arlington,United States,-77.1068,38.88,20140926,1
Falls Church,United States,-77.1711,38.8823,20140926,1
Newington,United States,-77.185,38.7384,20140926,1
Carlisle,United States,-77.195,40.2025,20140926,2
Annandale,United States,-77.1964,38.8304,20140926,1
Gaithersburg,United States,-77.2014,39.1434,20140926,2
Damascus,United States,-77.2039,39.2884,20140926,1
Tysons Corner,United States,-77.2311,38.9187,20140926,1
North Potomac,United States,-77.2348,39.0978,20140926,1
Germantown,United States,-77.2716,39.1732,20140926,1
Dale City,United States,-77.3111,38.6371,20140926,1
Greenville,United States,-77.3664,35.6127,20140926,1
Herndon,United States,-77.3861,38.9696,20140926,1
Huntingdon,United States,-78.0103,40.4848,20140926,1
Cobourg,Canada,-78.1677,43.9593,20140926,1
Front Royal,United States,-78.1944,38.9182,20140926,3
Charlottesville,United States,-78.4767,38.0293,20140926,1
Raleigh,United States,-78.6382,35.7796,20140926,1
Tonawanda,United States,-78.8553,42.9814,20140926,1
North Tonawanda,United States,-78.8642,43.0387,20140926,1
Oshawa,Canada,-78.8658,43.8971,20140926,4
Fayetteville,United States,-78.8784,35.0527,20140926,1
Myrtle Beach,United States,-78.8867,33.6891,20140926,3
Punxsutawney,United States,-78.9709,40.9437,20140926,1
Chapel Hill,United States,-79.0558,35.9132,20140926,1
Toronto,Canada,-79.3832,43.6532,20140926,29
Lexington,United States,-79.4428,37.784,20140926,1
Mississauga,Canada,-79.6441,43.589,20140926,2
Oakville,Canada,-79.6877,43.4675,20140926,1
Barrie,Canada,-79.6903,44.3894,20140926,1
Brampton,Canada,-79.7667,43.6833,20140926,1
Hamilton,Canada,-79.8661,43.25,20140926,3
Charleston,United States,-79.9311,32.7765,20140926,3
Morgantown,United States,-79.9559,39.6295,20140926,1
Pittsburgh,United States,-79.9959,40.4406,20140926,4
Porto,Portugal,-8.6239,41.1567,20140926,1
Limerick,Ireland,-8.6305,52.668,20140926,1
West Palm Beach,United States,-80.0534,26.7153,20140926,1
Delray Beach,United States,-80.0728,26.4615,20140926,1
Kernersville,United States,-80.0737,36.1199,20140926,1
Aventura,United States,-80.1392,25.9565,20140926,1
Miami,United States,-80.204,25.7891,20140926,1
Washington,United States,-80.2462,40.174,20140926,1
Guelph,Canada,-80.2482,43.5448,20140926,1
Davie,United States,-80.2521,26.0765,20140926,1
Blacksburg,United States,-80.4139,37.2296,20140926,2
Salisbury,United States,-80.4742,35.671,20140926,1
Kitchener,Canada,-80.4833,43.45,20140926,1
Waterloo,Canada,-80.5204,43.4643,20140926,4
Baden,Canada,-80.6689,43.4037,20140926,2
Charlotte,United States,-80.8431,35.2271,20140926,7
Columbia,United States,-81.0348,34.0007,20140926,8
West Columbia,United States,-81.074,33.9935,20140926,1
Wilkesboro,United States,-81.1606,36.146,20140926,1
