City,Longitude,Latitude,20140904,Language20140904,20140905,Language20140905,20140906,Language20140906,20140907,Language20140907,20140908,Language20140908,20140909,Language20140909,20140910,Language20140910,20140911,Language20140911,20140912,Language20140912,20140913,Language20140913,20140914,Language20140914,20140915,Language20140915,20140916,Language20140916,20140917,Language20140917,20140918,Language20140918,20140919,Language20140919,20140920,Language20140920,20140921,Language20140921,20140922,Language20140922,20140923,Language20140923,20140924,Language20140924,20140925,Language20140925,20140926,Language20140926,20140927,Language20140927,20140928,Language20140928,20140929,Language20140929,20140930,Language20140930,20141001,Language20141001,20141002,Language20141002,20141003,Language20141003,20141004,Language20141004,20141005,Language20141005,20141006,Language20141006,20141007,Language20141007,20141008,Language20141008,20141009,Language20141009
Aabybro,9.7347,57.1602,0,en,0,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en
Aachen,6.0839,50.7753,0,en,0,en,0,en,0,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,10,en,10,en,10,en,10,en,10,en,10,en
Aalborg,9.9217,57.0488,4,en,18,en,23,en,24,en,25,en,27,en,32,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,34,en,39,en,40,en,41,en,41,en,41,en,41,en
Aalen,10.0971,48.8367,0,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en
Aalsmeer,4.7619,52.2622,0,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,4,en,4,en,4,en,4,en,4,en,4,en
Aalst,4.041,50.9378,0,en,3,en,3,en,3,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en
Aalter,3.4484,51.0873,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en
Aarau,8.0431,47.3934,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,4,en,5,en,5,en,5,en,5,en,6,en,8,en,8,en
Aarhus,10.2039,56.1629,9,en,11,en,24,en,25,en,27,en,29,en,30,en,37,en,37,en,37,en,38,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,40,en,40,en,40,en,41,en,42,en,47,en,48,en,62,en,65,en,66,en,66,en,66,en,66,en
Abbeville,-82.379,34.1782,1,en,57,en,57,en,58,en,58,en,58,en,58,en,58,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,59,en,60,en,60,en,60,en,60,en,60,en,60,en
