Country,Language,id
United Arab Emirates,en,784
Austria,en,40
Australia,en,36
Belgium,fr,56
Canada,en,124
Switzerland,en,756
Germany,de,276
Estonia,en,233
Spain,es,724
Finland,en,246
France,fr,250
United Kingdom,en,826
Croatia,en,191
Hungary,en,348
Indonesia,en,360
Ireland,en,372
Israel,en,376
India,en,356
Italy,en,380
Lithuania,en,440
Malaysia,en,458
Netherlands,en,528
Norway,en,578
New Zealand,en,554
Philippines,en,608
Puerto Rico,es,630
Romania,en,642
Serbia,en,688
Sweden,en,752
Singapore,en,702
United States,en,840
South Africa,en,710
