id,Country,Pageviews,Language,TranslationTIme
32,Argentina,9928,es,9/6/14 2:40
36,Australia,212470,en,9/4/14 14:34
40,Austria,7649,en,9/4/14 14:34
56,Belgium,8788,fr,9/8/13 7:19
76,Brazil,37351,pt,9/16/14 14:18
124,Canada,491179,en,9/4/14 14:34
152,Chile,6917,es,9/6/14 2:40
170,Colombia,3906,es,9/6/14 2:40
188,Costa Rica,3825,es,9/6/14 2:40
203,Czech Republic,11230,en,9/4/14 14:34
208,Denmark,4638,en,9/4/14 14:34
233,Estonia,5371,en,9/4/14 14:34
246,Finland,15624,en,9/4/14 14:34
250,France,39955,fr,9/8/13 7:19
276,Germany,81619,de,10/4/14 9:46
344,Hong Kong,9032,en,9/4/14 14:34
348,Hungary,6184,en,9/4/14 14:34
356,India,27097,en,9/4/14 14:34
372,Ireland,52731,en,9/4/14 14:34
376,Israel,6754,en,9/4/14 14:34
380,Italy,24820,en,9/4/14 14:34
388,Jamaica,4882,en,9/4/14 14:34
392,Japan,10985,en,9/4/14 14:34
458,Malaysia,11067,en,9/4/14 14:34
484,Mexico,38490,es,9/6/14 2:40
528,Netherlands,25226,en,9/4/14 14:34
554,New Zealand,54439,en,9/4/14 14:34
578,Norway,17007,en,9/4/14 14:34
604,Peru,5371,es,9/6/14 2:40
608,Philippines,29946,en,9/4/14 14:34
620,Portugal,7812,pt,9/16/14 14:18
630,Puerto Rico,4069,es,9/6/14 2:40
642,Romania,14973,en,9/4/14 14:34
643,Russia,8951,en,9/4/14 14:34
682,Saudi Arabia,3662,en,9/4/14 14:34
688,Serbia,4150,en,9/4/14 14:34
702,Singapore,17089,en,9/4/14 14:34
710,South Africa,17739,en,9/4/14 14:34
410,South Korea,17903,en,9/4/14 14:34
724,Spain,17821,es,9/6/14 2:40
752,Sweden,20019,en,9/4/14 14:34
756,Switzerland,8626,en,9/4/14 14:34
764,Thailand,6673,en,9/4/14 14:34
792,Turkey,15054,en,9/4/14 14:34
784,United Arab Emirates,18960,en,9/4/14 14:34
826,United Kingdom,888451,en,9/4/14 14:34
840,United States,4594591,en,9/4/14 14:34
