# ----------------------------------------
# buzzfeed.com
"# Country, Make You Smile"
# 20140901-20141102
# ----------------------------------------

Country / Territory,Week of the Year,Total Events
United Arab Emirates,36,"18,681"
Afghanistan,36,447
Anguilla,36,"1,073"
Argentina,36,"8,849"
Austria,36,"1,609"
Australia,36,"187,881"
Bosnia and Herzegovina,36,"3,039"
Belgium,36,"11,173"
Brazil,36,"38,345"
Canada,36,"325,798"
Switzerland,36,"5,452"
Chile,36,"8,134"
Colombia,36,"4,380"
Costa Rica,36,"5,274"
Czech Republic,36,"8,044"
Germany,36,"59,886"
Denmark,36,"7,597"
Estonia,36,"4,827"
Egypt,36,179
Spain,36,"9,206"
Finland,36,"11,173"
France,36,"34,144"
United Kingdom,36,"630,234"
Gibraltar,36,447
Greece,36,"1,519"
Guatemala,36,"2,503"
Guam,36,89
Hong Kong,36,"2,860"
Honduras,36,"5,720"
Croatia,36,804
Hungary,36,"7,419"
Indonesia,36,"2,592"
Ireland,36,"47,373"
Israel,36,"4,648"
India,36,"16,714"
Iceland,36,"1,251"
Italy,36,"22,614"
Jamaica,36,"5,363"
Jordan,36,179
Japan,36,"6,167"
Kenya,36,89
South Korea,36,"15,106"
Laos,36,358
Lebanon,36,268
Lithuania,36,715
Luxembourg,36,"1,251"
Latvia,36,"2,592"
Macedonia (FYROM),36,89
Malta,36,715
Mexico,36,"27,262"
Malaysia,36,"7,597"
Nicaragua,36,"2,056"
Netherlands,36,"22,256"
Norway,36,"17,072"
New Zealand,36,"31,194"
Panama,36,"4,469"
Peru,36,"6,078"
Philippines,36,"33,429"
Pakistan,36,358
Poland,36,"1,073"
Puerto Rico,36,179
Portugal,36,"8,223"
Réunion,36,983
Romania,36,"11,620"
Russia,36,"11,888"
Saudi Arabia,36,"4,290"
Sweden,36,"17,519"
Singapore,36,"17,161"
Thailand,36,"8,044"
Turkey,36,"9,743"
Trinidad and Tobago,36,"1,073"
Taiwan,36,626
Uganda,36,89
United States,36,"3,409,662"
Venezuela,36,"2,592"
Vietnam,36,179
South Africa,36,"13,318"
(not set),36,"2,681"
